name,gender,birth,death,title,period,succession,custom,note
Alexios I,male,1048,1118,Eastern Roman emperor,1081-1118,,,Komnenos dynasty. Cooperated with the Crusaders
John II,male,1087,1143,Eastern Roman emperor,1118-1143,Alexios I,,Great emperor of the Komnenos dynasty
Manuel I,male,1118,1180,Eastern Roman emperor,1143-1180,John II,,Height of the Komnenos dynasty
Michael VIII,male,1224,1282,Eastern Roman emperor,1261-1282,,,Recaptured Constantinople from the Latin Empire
Constantine XI,male,1405,1453,Last Eastern Roman emperor,1449-1453,,,Died fighting at the Fall of Constantinople. End of Byzantium
Clovis I,male,466,511,King of the Franks (Merovingian),481-511,,,Founded the Frankish kingdom. Converted to Catholic Christianity
Childeric III,male,约714,约755,Last Merovingian king,743-751,,Pepin III,Deposed by Pepin III. End of the Merovingians
Pepin III,male,714,768,King of the Franks (first Carolingian),751-768,,,Deposed Childeric III. Father of Charlemagne
Charlemagne,male,742,814,"King of the Franks, Western Roman emperor",768-814,Pepin III,,Crowned emperor in 800. Carolingian Renaissance
Louis I,male,778,840,King of the Franks (the Pious),814-840,Charlemagne,,"Beginning of the empire's division, leading to the Treaty of Verdun"
Otto I,male,912,973,Holy Roman emperor (Ottonian),962-973,,,Crowned emperor in 962. Founder of the Holy Roman Empire
Henry IV (HRE),male,1050,1106,Holy Roman emperor (Salian),1084-1105,,,Walk to Canossa (1077)
Frederick I,male,1122,1190,Holy Roman emperor (Hohenstaufen),1155-1190,,,Barbarossa. Drowned on the Third Crusade
Frederick II,male,1194,1250,Holy Roman emperor,1220-1250,,,"""Wonder of the world"". Ruler of the Kingdom of Sicily"
Rudolf I,male,1218,1291,King of the Romans (first Habsburg),1273-1291,,,Rise of the House of Habsburg
Charles IV (HRE),male,1316,1378,Holy Roman emperor (Luxembourg),1355-1378,,,Golden Bull. Made Prague the capital
Frederick III,male,1415,1493,Holy Roman emperor,1440-1493,,,Habsburg emperor
Maximilian I,male,1459,1519,Holy Roman emperor (Habsburg),1508-1519,Frederick III,,Expanded the Habsburgs through marriage diplomacy
Charles V,male,1500,1558,"Holy Roman emperor, King Carlos I of Spain",1519-1556,Maximilian I,,"""Empire on which the sun never sets"". Abdicated to a monastery"
Ferdinand II (HRE),male,1578,1637,Holy Roman emperor,1619-1637,,,Emperor during the Thirty Years' War
Ferdinand III,male,1608,1657,Holy Roman emperor,1637-1657,,,Emperor at the end of the Thirty Years' War
Leopold I,male,1640,1705,Holy Roman emperor,1658-1705,Ferdinand III,,Defeated the Ottoman Empire in the Great Turkish War
Joseph I,male,1678,1711,Holy Roman emperor,1705-1711,,,
Charles VI (HRE),male,1685,1740,Holy Roman emperor,1711-1740,Joseph I,,Pragmatic Sanction. Succession of Maria Theresa
Francis I (HRE),male,1708,1765,Holy Roman emperor,1745-1765,,,Husband of Maria Theresa
Joseph II,male,1741,1790,Holy Roman emperor,1765-1790,Francis I (HRE),,Enlightened despot. Abolished serfdom
Leopold II,male,1747,1792,Holy Roman emperor,1790-1792,,,
Francis II,male,1768,1835,Last Holy Roman emperor,1792-1806,Leopold II,Napoleon I,Holy Roman Empire dissolved by Napoleon
Louis V,male,约967,987,King of France (last Carolingian),986-987,,Hugh Capet,End of the Carolingian line
Hugh Capet,male,约940,996,King of France (first Capetian),987-996,,,Founded the Capetian dynasty
Louis VII,male,1120,1180,King of France,1137-1180,,,Divorced Eleanor of Aquitaine
Philip II (France),male,1165,1223,King of France,1180-1223,Louis VII,,Third Crusade. Weakened the Angevin Empire
Louis VIII,male,1187,1226,King of France,1223-1226,,,
Louis IX,male,1214,1270,King of France (Saint Louis),1226-1270,Louis VIII,,Captured in Egypt on crusade. Canonized
Philip III (France),male,1245,1285,King of France,1270-1285,,,
Philip IV (France),male,1268,1314,King of France,1285-1314,Philip III (France),,Dissolved the Knights Templar. Estates-General
Charles VI (France),male,1368,1422,King of France,1380-1422,,,The Mad King. Chaos of the Hundred Years' War
Charles VII,male,1403,1461,King of France,1422-1461,Charles VI (France),,Won the Hundred Years' War. Era of Joan of Arc
Louis XI,male,1423,1483,King of France,1461-1483,Charles VII,,"""The Prudent"". United France"
Louis XII,male,1462,1515,King of France,1498-1515,,,
Francis I (France),male,1494,1547,King of France,1515-1547,Louis XII,,Renaissance king. Invited Leonardo da Vinci
Henry IV (France),male,1553,1610,King of France (first Bourbon),1589-1610,,,"Edict of Nantes. ""A chicken in every pot"""
Louis XIII,male,1601,1643,King of France,1610-1643,Henry IV (France),,Made Richelieu his chief minister
Louis XIV,male,1638,1715,King of France (the Sun King),1643-1715,Louis XIII,,Height of absolutism. Palace of Versailles
Louis XV,male,1710,1774,King of France,1715-1774,Louis XIV,,"""L'état, c'est moi"". Seven Years' War"
Louis XVI,male,1754,1793,King of France,1774-1792,Louis XV,Napoleon I,Deposed and executed in the French Revolution
Napoleon I,male,1769,1821,Emperor of the French,1804-1815,,,Napoleonic Code. Defeated at Waterloo. Hundred Days
William I,male,约1028,1087,King of England (the Conqueror),1066-1087,,,Norman Conquest. Domesday Book
Henry I,male,约1068,1135,King of England,1100-1135,William I,,
Henry II,male,1133,1189,King of England (Plantagenet),1154-1189,,,Angevin Empire
Richard I,male,1157,1199,King of England (Lionheart),1189-1199,Henry II,,Third Crusade
King John,male,1166,1216,King of England,1199-1216,Richard I,,Magna Carta (1215)
Henry IV (England),male,1367,1413,King of England (first Lancastrian),1399-1413,,,Deposed Richard II and took the throne
Henry III,male,1207,1272,King of England,1216-1272,King John,,
Edward I,male,1239,1307,King of England,1272-1307,Henry III,,Conquered Wales. Invaded Scotland
Edward III,male,1312,1377,King of England,1327-1377,,,Started the Hundred Years' War
Henry V,male,1386,1422,King of England,1413-1422,Henry IV (England),,Battle of Agincourt
Henry VII,male,1457,1509,King of England (first Tudor),1485-1509,,,Ended the Wars of the Roses
Henry VIII,male,1491,1547,King of England,1509-1547,Henry VII,,Founded the Church of England. Six wives
Edward VI,male,1537,1553,King of England,1547-1553,Henry VIII,,Pursued the Reformation
Mary I,female,1516,1558,Queen of England (Bloody Mary),1553-1558,Edward VI,,Catholic restoration. Many executions
Elizabeth I,female,1533,1603,Queen of England,1558-1603,Mary I,James I,Elizabethan Golden Age. Defeated the Armada
James I,male,1566,1625,King of England (Stuart),1603-1625,Elizabeth I,,Union of the Crowns. King James Bible
Charles I,male,1600,1649,King of England,1625-1649,James I,,Executed in the English Civil War
Charles II (England),male,1630,1685,King of England,1660-1685,Charles I,,Restoration of the monarchy
James II,male,1633,1701,King of England,1685-1688,Charles II (England),,Deposed in the Glorious Revolution
William III,male,1650,1702,King of England,1689-1702,James II,,Glorious Revolution. Bill of Rights
Mary II,female,1662,1694,Queen of England,1689-1694,James II,,Co-ruled with William III
Queen Anne,female,1665,1714,Queen of England,1702-1714,William III,,Last Stuart. United with Scotland
George I,male,1660,1727,King of Great Britain (first Hanoverian),1714-1727,Queen Anne,,Founded the Hanoverian dynasty
George II,male,1683,1760,King of the United Kingdom,1727-1760,George I,,
George III,male,1738,1820,King of the United Kingdom,1760-1820,George II,,American Revolution. Napoleonic Wars
George IV,male,1762,1830,King of the United Kingdom,1820-1830,George III,,Patron of the Regency era
William IV,male,1765,1837,King of the United Kingdom,1830-1837,George IV,,Era of the Reform Act
Queen Victoria,female,1819,1901,Queen of the United Kingdom,1837-1901,William IV,,Victorian era. Height of the British Empire
Edward VII,male,1841,1910,King of the United Kingdom,1901-1910,Queen Victoria,,Son of Queen Victoria
George V,male,1865,1936,King of the United Kingdom (Windsor),1910-1936,Edward VII,,World War I. Renamed the House of Windsor
George VI,male,1895,1952,King of the United Kingdom,1936-1952,George V,,King during World War II
Elizabeth II,female,1926,2022,Queen of the United Kingdom,1952-2022,George VI,,Reigned 70 years; 15 prime ministers from Churchill to Truss
Charles III (UK),male,1948,,King of the United Kingdom (reigning),2022-,Elizabeth II,,Eldest son of Elizabeth II
Ferdinand II (Aragon),male,1452,1516,King of Aragon,1479-1516,,,Completed the Reconquista. Supported Columbus
Isabella I,female,1451,1504,Queen of Castile,1474-1504,,,Sponsored Columbus. Foundation of Spanish unity
Philip II (Spain),male,1527,1598,King of Spain,1556-1598,Charles V,,Invincible Armada. Defeated in the Armada
Philip III (Spain),male,1578,1621,King of Spain,1598-1621,Philip II (Spain),,
Philip IV (Spain),male,1605,1665,King of Spain,1621-1665,Philip III (Spain),,Thirty Years' War. Commissioned Velázquez
Charles II (Spain),male,1661,1700,King of Spain (last Habsburg),1665-1700,Philip IV (Spain),Philip V,Effects of inbreeding. End of the Habsburg line
Philip V,male,1683,1746,King of Spain (first Bourbon),1700-1746,Charles II (Spain),,Bourbon dynasty established after the War of Spanish Succession
Charles III (Spain),male,1716,1788,King of Spain,1759-1788,,,Enlightened despot
Charles IV (Spain),male,1748,1819,King of Spain,1788-1808,,,Forced to abdicate by Napoleon
Ferdinand VII,male,1784,1833,King of Spain,1808-1833,Charles IV (Spain),,Napoleonic Wars. Peninsular War
Isabella II,female,1830,1904,Queen of Spain,1833-1868,Ferdinand VII,,Succession dispute. Carlist Wars
Alfonso XIII,male,1886,1941,King of Spain,1902-1931,,,Fled into exile with the founding of the Republic
Juan Carlos I,male,1938,,King of Spain,1975-2014,,,Led democratization after Franco. Abdicated
Felipe VI,male,1968,,King of Spain (reigning),2014-,Juan Carlos I,,
Michael Romanov,male,1596,1645,Tsar of Russia (first Romanov),1613-1645,,,Ended the Time of Troubles. Founded the Romanov dynasty
Alexis,male,1629,1676,Tsar of Russia,1645-1676,Michael Romanov,,Father of Peter the Great
Peter I,male,1672,1725,Tsar of Russia (the Great),1682-1725,Alexis,,Built St. Petersburg. Westernizing reforms
Catherine I,female,1684,1727,Empress of Russia,1725-1727,Peter I,,Wife of Peter the Great
Elizabeth,female,1709,1762,Empress of Russia,1741-1762,,,Seven Years' War
Peter III,male,1728,1762,Tsar of Russia,1762,Elizabeth,,Deposed by Catherine II
Catherine II,female,1729,1796,Empress of Russia (the Great),1762-1796,Peter III,,Enlightened despot. Black Sea expansion with Potemkin
Paul I,male,1754,1801,Tsar of Russia,1796-1801,Catherine II,,Assassinated
Alexander I,male,1777,1825,Tsar of Russia,1801-1825,Paul I,,Won the Napoleonic Wars
Nicholas I,male,1796,1855,Tsar of Russia,1825-1855,Alexander I,,Crimean War
Alexander II,male,1818,1881,Tsar of Russia,1855-1881,Nicholas I,,Emancipated the serfs. Assassinated
Alexander III,male,1845,1894,Tsar of Russia,1881-1894,Alexander II,,
Nicholas II,male,1868,1918,Last Tsar of Russia,1894-1917,Alexander III,,Abdicated in the February Revolution. Romanovs executed
George Washington,male,1732,1799,1st President of the United States,1789-1797,,,"Commander-in-chief of the Revolution. ""Father of America"""
John Adams,male,1735,1826,2nd President of the United States,1797-1801,George Washington,,One of the drafters of the Declaration of Independence
Thomas Jefferson,male,1743,1826,3rd President of the United States,1801-1809,John Adams,,Drafted the Declaration. Louisiana Purchase
James Madison,male,1751,1836,4th President of the United States,1809-1817,Thomas Jefferson,,Father of the Constitution
James Monroe,male,1758,1831,5th President of the United States,1817-1825,James Madison,,Monroe Doctrine
Andrew Jackson,male,1767,1845,7th President of the United States,1829-1837,,,Expansion of democracy
Abraham Lincoln,male,1809,1865,16th President of the United States,1861-1865,,,Civil War. Emancipation Proclamation. Assassinated
Ulysses Grant,male,1822,1885,18th President of the United States,1869-1877,,,Union commander in the Civil War
Grover Cleveland,male,1837,1908,22nd and 24th President of the United States,1885-1889；1893-1897,,,Re-elected non-consecutively
William McKinley,male,1843,1901,25th President of the United States,1897-1901,,,Spanish-American War. Assassinated
Theodore Roosevelt,male,1858,1919,26th President of the United States,1901-1909,William McKinley,,Mount Rushmore. Panama Canal
Woodrow Wilson,male,1856,1924,28th President of the United States,1913-1921,,,World War I. Proposed the League of Nations
Franklin D. Roosevelt,male,1882,1945,32nd President of the United States,1933-1945,,,New Deal. World War II. Four terms
Harry Truman,male,1884,1972,33rd President of the United States,1945-1953,Franklin D. Roosevelt,,Marshall Plan. Founded the UN
Dwight Eisenhower,male,1890,1969,34th President of the United States,1953-1961,Harry Truman,,Supreme Allied Commander of World War II
John F. Kennedy,male,1917,1963,35th President of the United States,1961-1963,Dwight Eisenhower,,Cuban Missile Crisis. Assassinated
Richard Nixon,male,1913,1994,37th President of the United States,1969-1974,,,Nixon's visit to China. Resigned over Watergate
Jimmy Carter,male,1924,2024,39th President of the United States,1977-1981,,,Camp David Accords
Ronald Reagan,male,1911,2004,40th President of the United States,1981-1989,,,Toward the end of the Cold War. Reaganomics
Bill Clinton,male,1946,,42nd President of the United States,1993-2001,George H. W. Bush,,Economic prosperity
George W. Bush,male,1946,,43rd President of the United States,2001-2009,Bill Clinton,,9/11 attacks. Iraq War
George H. W. Bush,male,1924,2018,41st President of the United States,1989-1993,Ronald Reagan,,Gulf War. Bush family
Barack Obama,male,1961,,44th President of the United States,2009-2017,George W. Bush,,First Black president. Healthcare reform
Donald Trump,male,1946,,45th and 47th President of the United States,2017-2021；2025-,Barack Obama；Joe Biden,,Businessman. Returned after re-election
Joe Biden,male,1942,,46th President of the United States,2021-2025,Donald Trump,,Oldest president
