名前,性別,生年,没年,肩書,期間,継承,朝代更换,メモ
奥勒良,男,214,275,罗马帝国第四十任皇帝,270-275,,,军人皇帝。重新统一帝国
戴克里先,男,244,311,罗马帝国第五十一任皇帝,284-305,,,四帝共治制。确立专制君主制
狄奥多西一世,男,347,395,罗马帝国第六十六任皇帝,379-395,,,确立基督教为国教。帝国东西分治
罗慕路斯·奥古斯都路斯,男,约460,约511,西罗马帝国末代皇帝,475-476,,,西罗马帝国灭亡（476年）
君士坦丁一世,男,272,337,罗马皇帝（迁都君士坦丁堡）,306-337,,,米兰敕令。330年迁都。拜占庭帝国之祖
查士丁尼一世,男,483,565,东罗马皇帝,527-565,,,《罗马法大全》。重建君士坦丁堡
希拉克略,男,约575,641,东罗马皇帝,610-641,,,战胜萨珊波斯。军事改革
利奥三世,男,约685,741,东罗马皇帝,717-741,,,击退伊斯兰军队。毁坏圣像运动
伊琳娜,女,约752,803,东罗马女皇,797-802,,,恢复圣像崇拜（第二次尼西亚公会议）
巴西尔二世,男,958,1025,东罗马皇帝,976-1025,,,征服保加利亚。「保加利亚屠夫」
阿历克塞一世,男,1048,1118,东罗马皇帝,1081-1118,,,科穆宁王朝。与十字军协调
约翰二世,男,1087,1143,东罗马皇帝,1118-1143,阿历克塞一世,,科穆宁王朝的明君
曼努埃尔一世,男,1118,1180,东罗马皇帝,1143-1180,约翰二世,,科穆宁王朝的鼎盛期
米海尔八世,男,1224,1282,东罗马皇帝,1261-1282,,,从拉丁帝国手中收复君士坦丁堡
君士坦丁十一世,男,1405,1453,东罗马末代皇帝,1449-1453,,,君士坦丁堡陷落时战死。东罗马灭亡
克洛维一世,男,466,511,法兰克国王（墨洛温王朝）,481-511,,,建立法兰克王国。皈依天主教
希尔德里克三世,男,约714,约755,墨洛温王朝末代国王,743-751,,丕平三世,被丕平三世废黜。墨洛温王朝终结
丕平三世,男,714,768,法兰克国王（加洛林王朝首任）,751-768,,,废黜希尔德里克三世称王。查理曼大帝之父
查理曼大帝,男,742,814,法兰克国王·西罗马皇帝,768-814,丕平三世,,800年加冕称帝。加洛林文艺复兴
路易一世,男,778,840,法兰克国王（虔诚者）,814-840,查理曼大帝,,帝国分裂的开端，通向凡尔登条约
奥托一世,男,912,973,神圣罗马皇帝（奥托王朝）,962-973,,,962年加冕称帝。神圣罗马帝国创立者
亨利四世（神圣罗马）,男,1050,1106,神圣罗马皇帝（萨利安王朝）,1084-1105,,,卡诺莎之辱（1077年）
腓特烈一世,男,1122,1190,神圣罗马皇帝（霍亨斯陶芬王朝）,1155-1190,,,红胡子。第三次十字军中溺亡
腓特烈二世,男,1194,1250,神圣罗马皇帝,1220-1250,,,「世界奇观」。西西里王国君主
鲁道夫一世,男,1218,1291,罗马人国王（哈布斯堡首任）,1273-1291,,,哈布斯堡家族的崛起
查理四世（神圣罗马）,男,1316,1378,神圣罗马皇帝（卢森堡王朝）,1355-1378,,,《金玺诏书》。定都布拉格
腓特烈三世,男,1415,1493,神圣罗马皇帝,1440-1493,,,哈布斯堡家族的皇帝
马克西米利安一世,男,1459,1519,神圣罗马皇帝（哈布斯堡）,1508-1519,腓特烈三世,,以联姻外交扩张哈布斯堡家族
查理五世,男,1500,1558,神圣罗马皇帝·西班牙国王卡洛斯一世,1519-1556,马克西米利安一世,,「日不落帝国」。退位入修道院
斐迪南二世（神圣罗马）,男,1578,1637,神圣罗马皇帝,1619-1637,,,三十年战争时期的皇帝
斐迪南三世,男,1608,1657,神圣罗马皇帝,1637-1657,,,三十年战争末期的皇帝
利奥波德一世,男,1640,1705,神圣罗马皇帝,1658-1705,斐迪南三世,,大土耳其战争中战胜奥斯曼帝国
约瑟夫一世,男,1678,1711,神圣罗马皇帝,1705-1711,,,
查理六世（神圣罗马）,男,1685,1740,神圣罗马皇帝,1711-1740,约瑟夫一世,,《国事诏书》。传位于玛丽亚·特蕾西亚
弗朗茨一世（神圣罗马）,男,1708,1765,神圣罗马皇帝,1745-1765,,,玛丽亚·特蕾西亚之夫
约瑟夫二世,男,1741,1790,神圣罗马皇帝,1765-1790,弗朗茨一世（神圣罗马）,,开明专制君主。解放农奴
利奥波德二世,男,1747,1792,神圣罗马皇帝,1790-1792,,,
弗朗茨二世,男,1768,1835,神圣罗马末代皇帝,1792-1806,利奥波德二世,拿破仑一世,神圣罗马帝国被拿破仑解散
路易五世,男,约967,987,法国国王（加洛林王朝末代）,986-987,,于格·卡佩,加洛林王朝断绝
于格·卡佩,男,约940,996,法国国王（卡佩王朝首任）,987-996,,,卡佩王朝创立者
路易七世,男,1120,1180,法国国王,1137-1180,,,与阿基坦的埃莉诺离婚
腓力二世（法国）,男,1165,1223,法国国王,1180-1223,路易七世,,第三次十字军。削弱安茹帝国
路易八世,男,1187,1226,法国国王,1223-1226,,,
路易九世,男,1214,1270,法国国王（圣路易）,1226-1270,路易八世,,十字军中在埃及被俘。被封为圣人
腓力三世（法国）,男,1245,1285,法国国王,1270-1285,,,
腓力四世（法国）,男,1268,1314,法国国王,1285-1314,腓力三世（法国）,,解散圣殿骑士团。召开三级会议
查理六世（法国）,男,1368,1422,法国国王,1380-1422,,,疯王。百年战争的混乱
查理七世,男,1403,1461,法国国王,1422-1461,查理六世（法国）,,百年战争获胜。圣女贞德的时代
路易十一,男,1423,1483,法国国王,1461-1483,查理七世,,「明智王」。统一法国
路易十二,男,1462,1515,法国国王,1498-1515,,,
弗朗索瓦一世（法国）,男,1494,1547,法国国王,1515-1547,路易十二,,文艺复兴之王。邀请达·芬奇
亨利四世（法国）,男,1553,1610,法国国王（波旁王朝首任）,1589-1610,,,《南特敕令》。「家家锅里都有一只鸡」
路易十三,男,1601,1643,法国国王,1610-1643,亨利四世（法国）,,任命黎塞留为宰相
路易十四,男,1638,1715,法国国王（太阳王）,1643-1715,路易十三,,绝对王权的顶峰。凡尔赛宫
路易十五,男,1710,1774,法国国王,1715-1774,路易十四,,「朕即国家」。七年战争
路易十六,男,1754,1793,法国国王,1774-1792,路易十五,拿破仑一世,法国大革命中被废黜并处死
拿破仑一世,男,1769,1821,法兰西皇帝,1804-1815,,,《拿破仑法典》。滑铁卢战败。百日王朝
威廉一世,男,约1028,1087,英格兰国王（征服者）,1066-1087,,,诺曼征服。《末日审判书》
亨利一世,男,约1068,1135,英格兰国王,1100-1135,威廉一世,,
亨利二世,男,1133,1189,英格兰国王（金雀花王朝）,1154-1189,,,安茹帝国
理查一世,男,1157,1199,英格兰国王（狮心王）,1189-1199,亨利二世,,第三次十字军
约翰王,男,1166,1216,英格兰国王,1199-1216,理查一世,,《大宪章》（1215年）
亨利四世（英格兰）,男,1367,1413,英格兰国王（兰开斯特王朝首任）,1399-1413,,,废黜理查二世即位
亨利三世,男,1207,1272,英格兰国王,1216-1272,约翰王,,
爱德华一世,男,1239,1307,英格兰国王,1272-1307,亨利三世,,征服威尔士。入侵苏格兰
爱德华三世,男,1312,1377,英格兰国王,1327-1377,,,开启百年战争
亨利五世,男,1386,1422,英格兰国王,1413-1422,亨利四世（英格兰）,,阿金库尔战役
亨利七世,男,1457,1509,英格兰国王（都铎王朝首任）,1485-1509,,,终结玫瑰战争
亨利八世,男,1491,1547,英格兰国王,1509-1547,亨利七世,,创立英国国教会。六位王后
爱德华六世,男,1537,1553,英格兰国王,1547-1553,亨利八世,,彻底推行宗教改革
玛丽一世,女,1516,1558,英格兰女王（血腥玛丽）,1553-1558,爱德华六世,,复兴天主教。处死众多
伊丽莎白一世,女,1533,1603,英格兰女王,1558-1603,玛丽一世,詹姆斯一世,伊丽莎白时代的黄金期。击败无敌舰队
詹姆斯一世,男,1566,1625,英格兰国王（斯图亚特王朝）,1603-1625,伊丽莎白一世,,与苏格兰共主联合。《钦定版圣经》
查理一世,男,1600,1649,英格兰国王,1625-1649,詹姆斯一世,,英国内战（清教徒革命）中被处死
查理二世（英格兰）,男,1630,1685,英格兰国王,1660-1685,查理一世,,王政复辟
詹姆斯二世,男,1633,1701,英格兰国王,1685-1688,查理二世（英格兰）,,光荣革命中被驱逐
威廉三世,男,1650,1702,英格兰国王,1689-1702,詹姆斯二世,,光荣革命。《权利法案》
玛丽二世,女,1662,1694,英格兰女王,1689-1694,詹姆斯二世,,与威廉三世共治
安妮女王,女,1665,1714,英格兰女王,1702-1714,威廉三世,,斯图亚特王朝末代。与苏格兰合并
乔治一世,男,1660,1727,英国国王（汉诺威王朝首任）,1714-1727,安妮女王,,汉诺威王朝创立者
乔治二世,男,1683,1760,英国国王,1727-1760,乔治一世,,
乔治三世,男,1738,1820,英国国王,1760-1820,乔治二世,,美国独立战争。拿破仑战争
乔治四世,男,1762,1830,英国国王,1820-1830,乔治三世,,摄政时代的艺术赞助人
威廉四世,男,1765,1837,英国国王,1830-1837,乔治四世,,《改革法案》的时代
维多利亚女王,女,1819,1901,英国女王,1837-1901,威廉四世,,维多利亚时代。大英帝国鼎盛期
爱德华七世,男,1841,1910,英国国王,1901-1910,维多利亚女王,,维多利亚女王之子
乔治五世,男,1865,1936,英国国王（温莎王朝）,1910-1936,爱德华七世,,第一次世界大战。改称温莎家族
乔治六世,男,1895,1952,英国国王,1936-1952,乔治五世,,第二次世界大战时期的国王
伊丽莎白二世,女,1926,2022,英国女王,1952-2022,乔治六世,,在位70年。历经丘吉尔到特拉斯共15位首相
查尔斯三世（英国）,男,1948,,英国国王（在位）,2022-,伊丽莎白二世,,伊丽莎白二世的长子
斐迪南二世（阿拉贡）,男,1452,1516,阿拉贡国王,1479-1516,,,完成收复失地运动。资助哥伦布
伊莎贝拉一世,女,1451,1504,卡斯蒂利亚女王,1474-1504,,,资助哥伦布航海。西班牙统一的基础
腓力二世（西班牙）,男,1527,1598,西班牙国王,1556-1598,查理五世,,无敌舰队。无敌舰队之战中战败
腓力三世（西班牙）,男,1578,1621,西班牙国王,1598-1621,腓力二世（西班牙）,,
腓力四世（西班牙）,男,1605,1665,西班牙国王,1621-1665,腓力三世（西班牙）,,三十年战争。请委拉斯开兹绘制肖像
卡洛斯二世（西班牙）,男,1661,1700,西班牙国王（哈布斯堡末代）,1665-1700,腓力四世（西班牙）,腓力五世,近亲通婚的影响。哈布斯堡家族断绝
腓力五世,男,1683,1746,西班牙国王（波旁王朝首任）,1700-1746,卡洛斯二世（西班牙）,,西班牙王位继承战争后建立波旁王朝
卡洛斯三世（西班牙）,男,1716,1788,西班牙国王,1759-1788,,,开明专制君主
卡洛斯四世（西班牙）,男,1748,1819,西班牙国王,1788-1808,,,被拿破仑逼迫退位
费尔南多七世,男,1784,1833,西班牙国王,1808-1833,卡洛斯四世（西班牙）,,拿破仑战争·西班牙独立战争
伊莎贝拉二世,女,1830,1904,西班牙女王,1833-1868,费尔南多七世,,王位之争。卡洛斯战争
阿方索十三世,男,1886,1941,西班牙国王,1902-1931,,,共和国成立后流亡
胡安·卡洛斯一世,男,1938,,西班牙国王,1975-2014,,,佛朗哥之后主导民主化。退位
费利佩六世,男,1968,,西班牙国王（在位）,2014-,胡安·卡洛斯一世,,
米哈伊尔·罗曼诺夫,男,1596,1645,俄国沙皇（罗曼诺夫王朝首任）,1613-1645,,,终结动荡时代。罗曼诺夫王朝创立者
阿列克谢,男,1629,1676,俄国沙皇,1645-1676,米哈伊尔·罗曼诺夫,,彼得大帝之父
彼得一世,男,1672,1725,俄国沙皇（大帝）,1682-1725,阿列克谢,,建设圣彼得堡。西欧化改革
叶卡捷琳娜一世,女,1684,1727,俄国女皇,1725-1727,彼得一世,,彼得大帝之妻
伊丽莎白,女,1709,1762,俄国女皇,1741-1762,,,七年战争
彼得三世,男,1728,1762,俄国沙皇,1762,伊丽莎白,,被叶卡捷琳娜二世废黜
叶卡捷琳娜二世,女,1729,1796,俄国女皇（大帝）,1762-1796,彼得三世,,开明专制君主。与波将金推进黑海扩张
保罗一世,男,1754,1801,俄国沙皇,1796-1801,叶卡捷琳娜二世,,被暗杀
亚历山大一世,男,1777,1825,俄国沙皇,1801-1825,保罗一世,,拿破仑战争中获胜
尼古拉一世,男,1796,1855,俄国沙皇,1825-1855,亚历山大一世,,克里米亚战争
亚历山大二世,男,1818,1881,俄国沙皇,1855-1881,尼古拉一世,,解放农奴。被暗杀
亚历山大三世,男,1845,1894,俄国沙皇,1881-1894,亚历山大二世,,
尼古拉二世,男,1868,1918,俄国末代沙皇,1894-1917,亚历山大三世,,二月革命中退位。罗曼诺夫家族被处决
乔治·华盛顿,男,1732,1799,美国第1任总统,1789-1797,,,独立战争总司令。「美国国父」
约翰·亚当斯,男,1735,1826,美国第2任总统,1797-1801,乔治·华盛顿,,《独立宣言》起草者之一
托马斯·杰斐逊,男,1743,1826,美国第3任总统,1801-1809,约翰·亚当斯,,起草《独立宣言》。路易斯安那购地
詹姆斯·麦迪逊,男,1751,1836,美国第4任总统,1809-1817,托马斯·杰斐逊,,宪法之父
詹姆斯·门罗,男,1758,1831,美国第5任总统,1817-1825,詹姆斯·麦迪逊,,门罗主义
安德鲁·杰克逊,男,1767,1845,美国第7任总统,1829-1837,,,民主政治的扩大
亚伯拉罕·林肯,男,1809,1865,美国第16任总统,1861-1865,,,南北战争。《解放黑人奴隶宣言》。被暗杀
尤利西斯·格兰特,男,1822,1885,美国第18任总统,1869-1877,,,南北战争北军总司令
格罗弗·克利夫兰,男,1837,1908,美国第22、24任总统,1885-1889；1893-1897,,,隔届再度当选
威廉·麦金莱,男,1843,1901,美国第25任总统,1897-1901,,,美西战争。被暗杀
西奥多·罗斯福,男,1858,1919,美国第26任总统,1901-1909,威廉·麦金莱,,拉什莫尔山。巴拿马运河
伍德罗·威尔逊,男,1856,1924,美国第28任总统,1913-1921,,,第一次世界大战·倡议成立国际联盟
富兰克林·罗斯福,男,1882,1945,美国第32任总统,1933-1945,,,新政。第二次世界大战。连任四届
哈里·杜鲁门,男,1884,1972,美国第33任总统,1945-1953,富兰克林·罗斯福,,马歇尔计划。联合国创立
德怀特·艾森豪威尔,男,1890,1969,美国第34任总统,1953-1961,哈里·杜鲁门,,第二次世界大战盟军最高统帅
约翰·肯尼迪,男,1917,1963,美国第35任总统,1961-1963,德怀特·艾森豪威尔,,古巴导弹危机。被暗杀
理查德·尼克松,男,1913,1994,美国第37任总统,1969-1974,,,尼克松访华。因水门事件辞职
吉米·卡特,男,1924,2024,美国第39任总统,1977-1981,,,戴维营协议
罗纳德·里根,男,1911,2004,美国第40任总统,1981-1989,,,推动冷战终结。里根经济学
比尔·克林顿,男,1946,,美国第42任总统,1993-2001,乔治·H·W·布什,,经济繁荣
乔治·W·布什,男,1946,,美国第43任总统,2001-2009,比尔·克林顿,,9·11恐怖袭击。伊拉克战争
乔治·H·W·布什,男,1924,2018,美国第41任总统,1989-1993,罗纳德·里根,,海湾战争。布什家族
贝拉克·奥巴马,男,1961,,美国第44任总统,2009-2017,乔治·W·布什,,首位黑人总统。医改
唐纳德·特朗普,男,1946,,美国第45、47任总统,2017-2021；2025-,贝拉克·奥巴马；乔·拜登,,实业家出身。再度当选回归
乔·拜登,男,1942,,美国第46任总统,2021-2025,唐纳德·特朗普,,最年长的总统
